planet,species,z_exobase_km,knudsen,lambda_mfp_km,mass_amu,radius_AA,z_max_km,H0_km
mars_like,NaCl,253,1.0,13,58.443,2.8,1096,11.0
mars_like,H2S,253,1.0,13,34.081,2.9,1096,11.0
mercury_like,H I,268,1.0,53,1.008,1.2,4330,43.3
mercury_like,He I,275,1.0,53,4.003,1.43,4330,43.3
mercury_like,H2,276,1.0,54,2.016,1.45,4330,43.3
mercury_like,F I,277,1.0,54,18.998,1.47,4330,43.3
mercury_like,O I,278,1.0,54,15.999,1.5,4330,43.3
mercury_like,Be I,279,1.0,54,9.012,1.53,4330,43.3
mercury_like,Ne I,279,1.0,54,20.18,1.54,4330,43.3
mercury_like,N I,283,1.0,54,14.007,1.66,4330,43.3
mercury_like,Cl I,286,1.0,54,35.45,1.75,4330,43.3
mercury_like,OH,286,1.0,54,17.007,1.75,4330,43.3
mercury_like,C I,286,1.0,54,12.011,1.77,4330,43.3
mercury_like,Li I,288,1.0,54,6.94,1.82,4330,43.3
mercury_like,Ar I,290,1.0,54,39.948,1.88,4330,43.3
mercury_like,P I,290,1.0,54,30.974,1.9,4330,43.3
mercury_like,S I,290,1.0,54,32.06,1.89,4330,43.3
mercury_like,B I,291,1.0,54,10.81,1.92,4330,43.3
mercury_like,CH4,293,1.0,54,16.042,2.0,4330,43.3
mercury_like,O2,295,1.0,55,31.999,2.05,4330,43.3
mercury_like,CO,296,1.0,55,28.01,2.1,4330,43.3
mercury_like,NO,297,1.0,54,30.006,2.15,4330,43.3
mercury_like,NH3,299,1.0,54,17.031,2.2,4330,43.3
mercury_like,SO,299,1.0,54,48.059,2.2,4330,43.3
mercury_like,Si I,299,1.0,55,28.085,2.19,4330,43.3
mercury_like,SiO,299,1.0,54,44.084,2.2,4330,43.3
mercury_like,Al I,300,1.0,54,26.982,2.25,4330,43.3
mercury_like,HCN,300,1.0,54,27.026,2.25,4330,43.3
mercury_like,CO2,302,1.0,55,44.01,2.3,4330,43.3
mercury_like,TiO,302,1.0,55,63.866,2.3,4330,43.3
