species	b_label	b_effective_kms	star_key	teff_k	beta	beta_err	n_half_beta_cm2
TiO	1	1.0	M6	3000			
TiO	1	1.0	K1	5000			
TiO	1	1.0	F8	6000			
TiO	1	1.0	A6	8000			
TiO	1	1.0	A0	10000			
TiO	1	1.0	B5	15000			
TiO	1	1.0	B0	30000			
TiO	1	1.0	O0	50000			
TiO	10	10.0	M6	3000			
TiO	10	10.0	K1	5000			
TiO	10	10.0	F8	6000			
TiO	10	10.0	A6	8000			
TiO	10	10.0	A0	10000			
TiO	10	10.0	B5	15000			
TiO	10	10.0	B0	30000			
TiO	10	10.0	O0	50000			
TiO	100	100.0	M6	3000			
TiO	100	100.0	K1	5000			
TiO	100	100.0	F8	6000			
TiO	100	100.0	A6	8000			
TiO	100	100.0	A0	10000			
TiO	100	100.0	B5	15000			
TiO	100	100.0	B0	30000			
TiO	100	100.0	O0	50000			
